Name,Description,Link,Price per unit (INR),Quantity,Total,Notes,,Pager Quantity
"2.4"" TFT LCD",Display,https://robu.in/product/2-4-inch-spi-interface-240x320-touch-screen-tft-display-module/,479,2,958,T,,2
Raspberry Pi Zero 2 W,Computer,https://www.silverlineelectronics.in/products/raspberry-pi-zero-2-silverline-india-authorised-distributor?srsltid=AfmBOopQFn8Zh3A43MEj9EpVHR6k1U2KnQ1C32TFDdNffInW-9DGvOy_,1766,2,3532,t,,
NEO-6M,GPS Module,https://robu.in/product/neo-6m-gps-module-with-eprom-normal-quality/?gad_source=1&gad_campaignid=17419548928&gbraid=0AAAAADvLFWdPskyuYEGdPtyur3E72Xk7H&gclid=CjwKCAjw04HIBhB8EiwA8jGNbecV5MOvHSrobyPgj3YeusZcLIXP_hEESn7cddM5CbDC_CPjuDY3RxoCu9sQAvD_BwE,239,2,478,t,,
EBYTE E220-900T22D ,LoRA Module,https://robu.in/product/ebyte-e220-900t22d-lora-wireless-uart-module-rssi-ism-868mhz-915mhz-22dbm-module-lora-spread-spectrum-uart-interface-sma-k-antenna/,605,2,1210,t,,
Antenna,it's an antenna what you do think,in-person,100,2,200,t,,
LM2596S Regulator,Buck Converter for LoRA and GPS,https://robu.in/product/lm2596s-dc-dc-buck-converter-power-supply/?gad_source=1&gad_campaignid=21296336107&gbraid=0AAAAADvLFWdB3IheqEFjUMRui23MaScPc&gclid=Cj0KCQjw9obIBhCAARIsAGHm1mS8T6AsMHJawHlxLL0OBepvG7WkCeY1BUy3cUGzCdqrbLHYm1t1Z2saAu7zEALw_wcB#tab-specification,41,4,164,t,,
Lithium Battery Cells,Battery,https://robu.in/product/dmegc-inr21700-50e-3-7v-5000mah-li-ion-battery/,215,2,430,t,,
MPU6050,Accelerometer,https://robu.in/product/mpu-6050-gyro-sensor-2-accelerometer/,179,2,358,t,,
QMC5883L,3 axis compass,https://robu.in/product/gy-271-hmc5883l-3-axis-electronic-compass-module-magnetic-field-sensor-china-chip/,150,2,300,t,,NOTE:
INA219,Battery Gauge,https://robu.in/product/cjmcu-219-ina219-i2c-interface-no-drift-bi-directional-current-power-monitoring-sensor-module/,99,2,198,t,,The quantity for all modules is 2 as I need 2 units of the pager to test all their features out
SIM800L,SIM Card Module for calling,https://www.flyrobo.in/sim800l-gprs-gsm-module-micro-sim-card-quad-band-ttl-serial-port?tracking=ads&srsltid=AfmBOopAP_mnSXpasIBrC2n7aPevafK5OMLqml18Ijgf-HoCNB-c7a2kBpw,259,2,518,t,,
0.1uF capacitor,Cap for SIM800L and LoRA (noise),https://robu.in/product/yageo-0-1uf-50v-smd-multilayer-ceramic-capacitor-pack-of-50/#tab-description,0.38,4,1.52,t,,
